symbol	entrez	cor_ctrl	cor_hd	padj_ctrl	padj_hd	group
FAM193A	8603	-0.803469387755102	-0.675187969924812	7.27319223860775e-10	0.0265548598063119	Both
HSDL2	84263	-0.350408163265306	-0.675187969924812	0.0344364484724582	0.0265548598063119	HD_only
BBS1	582	-0.364489795918367	-0.675187969924812	0.0268294617471928	0.0265548598063119	HD_only
MIR6716	102466719	-0.497959183673469	-0.675187969924812	0.00133097797717541	0.0265548598063119	Both
COX14	84987	0.496224489795918	0.675187969924812	0.00139386419422927	0.0265548598063119	Both
NDN	4692	0.606428571428571	0.675187969924812	3.88379480997463e-05	0.0265548598063119	Both
MIR193BHG	100129781	-0.111224489795918	-0.675187969924812	0.560403199709683	0.0265548598063119	HD_only
SMG6	23293	-0.731224489795918	-0.675187969924812	1.07441563285089e-07	0.0265548598063119	Both
RPAIN	84268	0.638673469387755	0.675187969924812	1.053829210638e-05	0.0265548598063119	Both
EPOP	100170841	0.216224489795918	0.675187969924812	0.222090301392202	0.0265548598063119	HD_only
ZNF160	90338	-0.616836734693877	-0.675187969924812	2.5808654599743e-05	0.0265548598063119	Both
IL6-AS1	541472	0.00255886569703255	-0.673937618175122	0.990917732787815	0.0271328237749746	HD_only
